DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Ano 1º Sintoma(s) e Mês 1º Sintoma(s)
Período:2014-2025
"Ano 1º Sintoma(s)";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"Em Branco/ign";163;3;4;8;9;4;-;-;-;-;1;1;1;194
"<1975";394;358;300;339;336;326;295;354;335;367;379;345;352;4480
"1975";17;18;21;19;17;20;16;13;16;18;19;16;28;238
"1976";18;11;14;14;22;19;19;16;19;20;18;29;32;251
"1977";25;14;13;11;25;18;11;16;22;10;12;30;14;221
"1978";31;20;15;20;21;17;14;27;15;26;22;26;24;278
"1979";26;11;27;22;14;20;20;21;16;17;19;12;14;239
"1980";29;17;16;17;25;22;21;27;15;18;26;20;25;278
"1981";35;20;19;20;23;11;22;27;23;27;20;22;26;295
"1982";24;26;19;29;19;19;21;29;22;25;23;31;22;309
"1983";30;22;27;23;27;16;21;16;21;29;29;21;22;304
"1984";24;23;17;19;20;20;24;27;21;22;18;30;18;283
"1985";32;21;20;17;14;19;21;25;19;22;18;20;15;263
"1986";35;20;29;20;30;17;25;27;35;27;21;29;21;336
"1987";20;22;19;18;18;29;14;17;20;15;29;23;25;269
"1988";29;24;17;22;25;18;20;19;11;24;23;24;22;278
"1989";27;23;29;19;15;31;24;25;32;24;29;37;22;337
"1990";26;18;13;21;21;23;23;22;25;19;16;19;22;268
"1991";25;20;23;21;15;22;16;21;25;19;24;24;20;275
"1992";29;24;28;19;24;23;27;20;18;24;30;30;23;319
"1993";31;22;24;25;31;17;22;26;21;27;20;19;29;314
"1994";37;21;30;22;21;30;29;18;18;25;34;18;30;333
"1995";30;19;14;18;28;21;28;21;26;24;33;24;24;310
"1996";20;18;27;29;26;24;30;39;22;23;29;24;30;341
"1997";30;26;31;25;30;26;27;24;18;21;33;14;38;343
"1998";33;24;20;18;27;22;20;15;17;27;35;18;37;313
"1999";27;22;19;15;21;19;19;15;18;18;14;16;13;236
"2000";46;10;14;15;17;22;12;19;17;17;18;16;13;236
"2001";26;27;36;38;52;51;30;18;22;17;19;23;23;382
"2002";63;12;11;23;30;25;15;18;11;19;16;14;17;274
"2003";21;16;5;21;24;19;16;19;11;8;19;10;15;204
"2004";19;25;10;16;15;16;16;16;16;16;12;15;17;209
"2005";21;13;15;23;34;25;23;15;19;19;16;19;18;260
"2006";22;23;33;26;34;21;18;17;16;21;13;16;15;275
